platform;programId;trackingLink;params;redirector
DE;8689;http://partners.webmasterplan.com/click.aspx?site=8689&ref=[ref]&type=text&tnb=111&diurl=[deeplink];;
DE;13734;http://partners.webmasterplan.com/click.aspx?site=13734&ref=[ref]&type=text&tnb=21&diurl=[deeplink];;
DE;15608;http://partners.webmasterplan.com/click.aspx?site=15608&ref=[ref]&type=text&tnb=18&diurl=[deeplink];;
DE;2150;http://partners.webmasterplan.com/click.aspx?site=2150&ref=[ref]&type=text&tnb=45&diurl=[deeplink];mc=DEU_MTS_ONL_AFF_Affili.net_Affiliate-Links_000_000;
DE;7270;http://partners.webmasterplan.com/click.aspx?site=7270&ref=[ref]&type=text&tnb=96&diurl=[deeplink];mc=DEU_MPD_ONL_AFF_affilinet_banner_standard_000;
DE;2897;http://partners.webmasterplan.com/click.aspx?site=2897&ref=[ref]&type=text&tnb=155&diurl=[deeplink];AffiliateID=affilinet&Name=influbrowextension&WKZ=77&IWL=104&NUMSArt=44549370&NUMSArtPc=44978979;
DE;6327;http://partners.webmasterplan.com/click.aspx?site=6327&ref=[ref]&type=text&tnb=69&diurl=[deeplink];gw=176308308;
DE;6668;http://partners.webmasterplan.com/click.aspx?site=6668&ref=[ref]&type=text&tnb=93&diurl=[deeplink];;
DE;9141;http://partners.webmasterplan.com/click.aspx?site=9141&ref=[ref]&type=text&tnb=258&diurl=[deeplink];;
DE;9846;http://partners.webmasterplan.com/click.aspx?site=9846&ref=[ref]&type=text&tnb=77&diurl=[deeplink];;
DE;14637;http://partners.webmasterplan.com/click.aspx?site=14637&ref=[ref]&type=text&tnb=146&diurl=[deeplink];utm_medium=affiliate&utm_source=affilinet&utm_campaign=$ref$&utm_content=$affmt$____$affmn$_textlinkgenerator-URL&utm=dynamic;
DE;15168;http://partners.webmasterplan.com/click.aspx?site=15168&ref=[ref]&type=text&tnb=342&diurl=[deeplink];camp=affilinet;
DE;16062;http://partners.webmasterplan.com/click.aspx?site=16062&ref=[ref]&type=text&tnb=37&diurl=[deeplink];;
DE;13245;http://partners.webmasterplan.com/click.aspx?site=13245&ref=[ref]&type=text&tnb=47&diurl=[deeplink];adCode=032Q40W10C22B&utm_source=afn&utm_medium=af&utm_content=Lkg&utm_campaign=brd;
DE;7932;http://partners.webmasterplan.com/click.aspx?site=7932&ref=[ref]&type=text&tnb=248&diurl=[deeplink];vcp=d371618ae93f99&refID=HappySize_DE/Affilinet/BrowserExtension/Textlink&emsrc=Affiliate&utm_source=affiliate&utm_medium=affilinet&utm_campaign=affilinet_browserextension&utm_content=textlink&refPa=1;
DE;16403;http://partners.webmasterplan.com/click.aspx?site=16403&ref=[ref]&type=text&tnb=7&diurl=[deeplink];;
DE;14917;http://partners.webmasterplan.com/click.aspx?site=14917&ref=[ref]&type=text&tnb=10&diurl=[deeplink];;
DE;9881;http://partners.webmasterplan.com/click.aspx?site=9881&ref=[ref]&type=text&tnb=55&diurl=[deeplink];;
DE;12456;http://partners.webmasterplan.com/click.aspx?site=12456&ref=[ref]&type=text&tnb=94&diurl=[deeplink];;
DE;8329;http://partners.webmasterplan.com/click.aspx?site=8329&ref=[ref]&type=text&tnb=157&diurl=[deeplink];;
DE;5649;http://partners.webmasterplan.com/click.aspx?site=5649&ref=[ref]&type=text&tnb=61&diurl=[deeplink];;
DE;13520;http://partners.webmasterplan.com/click.aspx?site=13520&ref=[ref]&type=text&tnb=282&diurl=[deeplink];;
DE;4100;http://partners.webmasterplan.com/click.aspx?site=4100&ref=[ref]&type=text&tnb=74&diurl=[deeplink];ecid=aff_jahn_nn_dl-generator_affilinet_text-ad_all_nn_nn-nn-nn_nn;
